,idx,wl_ls,wl_on,wl_off,stat_err_ppm@700,stat_err_ppm@end,contam_err_ppm@100,contam_err_ppm@500,d_xs,rank
"N2 Stokes, O2 Stokes",0.0,240.0,254.22220715720255,249.3102416647276,5.555114561045817,11.075096960664043,-0.16640382019253694,-3.3240088005456183,6.826136609363017e-24,5
"N2 Stokes, N2 a-Stokes",4945.0,338.90000000005057,314.08781923233664,367.9686353915783,1.6135619054153603,2.768748693245461,0.47807804225241923,0.890217370465695,1.044989630565391e-23,3
"N2 Stokes, O2 a-Stokes",4729.0,334.58000000004836,318.02349098038496,362.881332093024,1.2156795052158662,2.0722366560703858,0.5748907682486626,0.8923686107111656,7.21986711462286e-24,1
"O2 Stokes, N2 a-Stokes",5184.0,343.68000000005304,318.1892813822929,363.09720700495484,1.4656711713038721,2.488774319250988,0.6094226341485179,0.9302976403091784,6.80462694159165e-24,2
"O2 Stokes, O2 a-Stokes",4729.0,334.58000000004836,318.02349098038496,352.95506964041624,1.211378585378521,2.0653595011416166,0.4672895334820636,0.5117645249610757,7.221087874701938e-24,0
"N2 a-Stokes, O2 a-Stokes",5179.0,343.580000000053,318.1035633989772,326.14399996311045,1.7516631431960776,2.9723962810037636,0.14401866022689352,0.28744346087684575,6.187700860063454e-24,4
