98.38216696515433, 8.026495663364638
121.51219665109615, 9.6524229064112
147.52560043923788, 11.539876276702595
170.63429736771323, 13.52428080650941
170.63429736771323, 13.52428080650941
170.63429736771323, 13.52428080650941
201.2218436496996, 15.69479106619603
246.68393641920622, 19.139206770597898
326.8089346667866, 24.52830659737368
375.54392583832436, 28.757317786099694
447.8358902635338, 34.02910633441567
541.189264676599, 39.882903078944025
601.3021378720871, 44.23634545892729
723.960934981625, 51.622402436370066
878.9469252570937, 61.7167464581544
1016.5895259349459, 70.21481366668124
1346.802771350816, 90.87996411333621
1557.692258813969, 102.37598750529055
1749.9939859851709, 115.31662186270663
2104.045897762998, 132.513950950442
2554.5125909012495, 160.00081000157058
2954.5840330077467, 183.8415501168042
3417.1865429439135, 205.05854091886394
4068.975466327846, 237.974965101563
4798.37147473032, 276.16753967846
5496.217851070166, 311.0932142623225
6234.703183794961, 343.5617930125284
7569.432173058187, 410.74252788212664
8926.203378703878, 471.9709443558005
9825.13090834471, 519.2571673448964
11582.416905095393, 595.539661585596
14081.08800951455, 701.9599008533885
15515.102642928452, 759.9743629616034
17430.27456824211, 847.6117765694966
21575.80083014048, 1013.4116504950917
24241.102404004618, 1123.0846887388332
27398.988688241083, 1248.327918472604
27398.988688241083, 1248.327918472604
29713.98970453567, 1324.8577750486063
42220.4486741767, 1775.87632904373
48642.78847973336, 2020.7959053881457
58586.20528083572, 2332.7676956355954
75388.37414944501, 2873.3987925845413
85519.83620604748, 3236.6948911456047
99876.36960820126, 3719.078147711464
