,dist,A,B,C,D,E,F
8957,30126.445554078113,3623.7097387334093,2895.405741419782,2051.514138686094,1340.1784317025088,966.548005418296,658.3592679252216
8958,30161.153352657675,3626.9149226731242,2898.0816071440127,2053.6431604913037,1341.4660577311947,967.4178553937205,659.0247065365568
8959,30195.90113707892,3630.1229416092456,2900.7599458402624,2055.7743917542793,1342.754920894242,968.2884881952182,659.6908177419717
8960,30230.688953408295,3633.33379804933,2903.440759793982,2057.9078347679497,1344.0450223802743,969.1599045272958,660.3576022212907
8961,30265.516847765528,3636.5474945031756,2906.124051292761,2060.0434918276364,1345.3363633790564,970.0321050950995,661.0250606550302
8962,30300.38486632328,3639.7640334827756,2908.809822626282,2062.1813652310266,1346.6289450814975,970.9050906044035,661.6931937243902
8963,30335.293055307466,3642.9834175023543,2911.4980760863496,2064.321457278203,1347.9227686796478,971.7788617616221,662.3620021112607
8964,30370.241460997207,3646.205649078353,2914.1888139668836,2066.463770271626,1349.2178353667023,972.6534192738003,663.0314864982197
8965,30405.230129725114,3649.430730729459,2916.8820385639333,2068.608306516158,1350.5141463370098,973.5287638486263,663.7016475685383
8966,30440.259107877002,3652.658664976567,2919.5777521756604,2070.755068319043,1351.8117027860592,974.4048961944193,664.3724860061761
8967,30475.328441892114,3655.8894543428005,2922.27595710235,2072.9040579899174,1353.110505910487,975.281817020136,665.0440024957823
8968,30510.438178263386,3659.123101353537,2924.9766556464233,2075.055277840827,1354.4105569080884,976.159527035377,665.7161977227025
8969,30545.588363537136,3662.359608536366,2927.6798501124194,2077.2087301862084,1355.7118569778,977.0380269503756,666.3890723729713
8970,30580.779044313364,3665.59897842112,2930.3855428070106,2079.3644173429,1357.0144073197162,977.9173174760062,667.0626271333172
8971,30616.01026724569,3668.8412135398644,2933.0937360389944,2081.522341630142,1358.3182091350784,978.7973993237812,667.7368626911633
8972,30651.282079041674,3672.0863164269163,2935.8044321193215,2083.6825053695925,1359.6232636262916,979.6782732058589,668.4117797346299
8973,30686.594526462497,3675.3342896188233,2938.5176333610616,2085.8449108853065,1360.929571996908,980.5599398350319,669.0873789525294
8974,30721.94765632322,3678.5851356543726,2941.233342079414,2088.009560503756,1362.2371354516354,981.442399924738,669.7636610343702
8975,30757.341515493015,3681.838857074619,2943.951560591744,2090.1764565538338,1363.545955196348,982.3256541890562,670.4406266703618
8976,30792.77615089487,3685.0954564228437,2946.672291217539,2092.3456013668388,1364.85603243807,983.2097033427093,671.1182765514066
8977,30828.251609505893,3688.3549362445833,2949.3955362784345,2094.5169972764943,1366.1673683849888,984.094548101061,671.7966113691086
8978,30863.767938357243,3691.61729908762,2952.1212980982086,2096.6906466189403,1367.4799642464484,984.9801891801181,672.4756318157677
8979,30899.32518453446,3694.88254750201,2954.849579002798,2098.8665517327527,1368.793821232963,985.8666272965374,673.155338584388
8980,30934.92339517714,3698.1506840400443,2957.5803813202765,2101.044714958927,1370.108940556205,986.7538631676151,673.8357323686702
8981,30970.56261747918,3701.421711256275,2960.313707380873,2103.225138640883,1371.425323429007,987.6418975112924,674.5168138630161
8982,31006.242898689045,3704.695631707521,2963.049559516977,2105.4078251244855,1372.7429710653767,988.5307310461634,675.1985837625335
8983,31041.964286109443,3707.972447952862,2965.7879400631246,2107.5927767580233,1374.0618846804796,989.420364491462,675.8810427630278
8984,31077.72682709764,3711.2521625536338,2968.528851356013,2109.7799958922224,1375.3820654906515,990.310798567071,676.5641915610114
8985,31113.530569065388,3714.534778073439,2971.272295734493,2111.969484880252,1376.7035147133943,991.2020339935227,677.2480308536971
8986,31149.375559479267,3717.820297078158,2974.018275539597,2114.1612460777283,1378.0262335673879,992.0940714919983,677.9325613390072
8987,31185.261845860347,3721.1087221359294,2976.7667931144947,2116.3552818427024,1379.3502232724748,992.9869117843247,678.6177837155653
8988,31221.189475784435,3724.4000558171597,2979.51785080453,2118.5515945356724,1380.6754850496693,993.8805555929812,679.3036986827013
8989,31257.15849688235,3727.6943006945517,2982.27145095723,2120.7501865195986,1382.002020121166,994.7750036410968,679.9903069404553
8990,31293.1689568396,3730.9914593430613,2985.027595922272,2122.951060159879,1383.3298297103295,995.6702566524518,680.6776091895726
8991,31329.220903396672,3734.291534339929,2987.786288051512,2125.154217824377,1384.6589150416985,996.5663153514765,681.3656061315068
8992,31365.314384349014,3737.5945282646676,2990.547529698976,2127.359661883402,1385.9892773409865,997.4631804632514,682.054298468419
8993,31401.44944754731,3740.900443699094,2993.311323220875,2129.5673947097393,1387.3209178350937,998.3608527135161,682.7436869031848
8994,31437.626140897195,3744.2092832272865,2996.0776709755874,2131.7774186786223,1388.6538377520899,999.2593328286572,683.4337721393849
