,dist,A,B,C,D,E,F
5871,862.5684705825064,374.30521699434263,98.75508359262876,57.18694607860682,27.540083293973517,19.99799991650383,12.298701783761159
5872,863.5622105404553,375.19104384112114,98.88020755426979,57.25034046116363,27.5563625390791,20.017097729886324,12.309850062227042
5873,864.5570953572031,376.0789670765327,99.00549004958015,57.31380511933423,27.57265140702489,20.036213781416496,12.321008446158908
5874,865.5531263517094,376.96899166186927,99.13093127942413,57.37734013102243,27.588949903499064,20.05534808851153,12.332176944716982
5875,866.5503048444525,377.8611225701654,99.25653144492054,57.440945574218475,27.61861142229374,20.074500668605264,12.343355567069771
5876,867.5486321574303,378.7553647862207,99.3822907474427,57.504621526998825,27.649091786707068,20.09367153914813,12.354544322394059
5877,868.5481096141667,379.65172330663665,99.50820938861945,57.568368067526734,27.679605789763606,20.112860717607276,12.36574321987501
5878,869.5487385397068,380.55020313983493,99.63428757033468,57.63218527405188,27.710153468587468,20.132068221466476,12.376952268706054
5879,870.5505202606263,381.4508093060947,99.7605254947286,57.69607322491091,27.74073486034387,20.151294068226278,12.388171478088998
5880,871.5534561050251,382.35354683757134,99.88692336419699,57.76003199852706,27.771350002238883,20.17053827540386,12.39940085723396
5881,872.557547402537,383.258420778334,100.01348138139251,57.82406167341082,27.801998931519805,20.189800860533197,12.410640415359437
5882,873.562795484324,384.1654361843846,100.14019974922421,57.88816232815938,27.832681685474903,20.20908184116494,12.421890161692248
5883,874.5692016830844,385.07459812369405,100.2670786708585,57.95233404145728,27.863398301433687,20.22838123486658,12.433150105467602
5884,875.576767333052,385.9859116762262,100.39411834971922,58.016576892076266,27.894148816766872,20.247699059222334,12.444420255929083
5885,876.5854937699947,386.89938193396455,100.52131898948763,58.08089095887525,27.9249332688863,20.267035331833195,12.45570062232861
5886,877.5953823312232,387.81501400094777,100.64868079410347,58.14527632080076,27.955751695245247,20.286390070317033,12.466991213926557
5887,878.6064343555852,388.73281299328875,100.77620396776449,58.20973305688669,27.9866041333382,20.30576329230847,12.478292039991624
5888,879.6186511834742,389.65278403921303,100.90786387143878,58.27426124625469,28.017490620701135,20.32515501545902,12.489603109800962
5889,880.6320341568248,390.5749322790777,101.04555734608707,58.33886096811393,28.04841119491136,20.344565257437008,12.500924432640103
5890,881.64658461912,391.4992628654089,101.18343870988724,58.403532301761544,28.07936589358769,20.363994035927682,12.512256017803008
5891,882.6623039153905,392.4257809629253,101.32150821922288,58.468275326582585,28.110354754390507,20.38344136863316,12.52359787459207
5892,883.6791933922141,393.35781012436104,101.45976613082712,58.5330901220499,28.14137781502165,20.402907273272437,12.534950012318093
5893,884.6972543977236,394.4959614450435,101.59821270178382,58.59797676772475,28.17243511322468,20.422391767581477,12.545226743438215
5894,885.7164882816008,395.6374059212071,101.73684818952725,58.66293534325629,28.203526686784716,20.441894869313124,12.554632289285452
5895,886.7368963950869,396.7821530813518,101.87567285184336,58.7279659283822,28.23465257352865,20.46141659623725,12.564044886762332
5896,887.7584800909755,397.93021248154446,102.01468694686945,58.79306860292835,28.265812811325045,20.480956966140624,12.573464541155658
5897,888.7812407236216,399.0815937055039,102.15389073309534,58.85824344680926,28.29700743808433,20.500254004172994,12.582891257756241
5898,889.8051796489408,400.23630636467897,102.29328446936364,58.92349054002803,28.328236491758766,20.514285560229947,12.592325041858832
5899,890.8302982244078,401.39436009832593,102.43286841486979,58.98880996267632,28.35950001034244,20.528326720293034,12.601765898762151
5900,891.8565978090649,402.55576457359484,102.57264282916346,59.05420179493476,28.390798031871434,20.542377490935806,12.61121383376891
5901,892.8840797635165,403.7205294856036,102.71260797214775,59.11966611707265,28.42213059442373,20.556437878736293,12.620668852185757
5902,893.9127454499383,404.8886645575255,102.85276410408115,59.185203009448486,28.45349773611945,20.57050789027703,12.630130959323374
5903,894.9425962320712,406.06017954066385,102.99311148557676,59.250812552509636,28.484899495120654,20.58458753214505,12.639600160496375
5904,895.9736334752305,407.2350842145391,103.1336503776036,59.31649482679278,28.516335909631625,20.598676810931916,12.649076461023379
5905,897.0058585463042,408.41338838696794,103.27438104148682,59.382249912923974,28.547807017898773,20.61277573323371,12.658559866227009
5906,898.0392728137525,409.59510189414283,103.41530373890782,59.448077891618375,28.579312858210663,20.626884305650968,12.668050381433844
5907,899.0738776476154,410.7802346007199,103.5564187319055,59.5139788436809,28.610853468898224,20.641002534788818,12.67754801197448
5908,900.109674419508,411.9687963998943,103.69772628287592,59.57995285000578,28.642428888334567,20.655130427256854,12.687052763183504
5909,901.1466645026293,413.1607972134901,103.8392266545736,59.645999991577156,28.67403915493528,20.669267989669247,12.696564640399508
5910,902.1848492717561,414.3562469920359,103.98092011011117,59.71212034946877,28.705684307158226,20.68341522864463,12.706083648965063
5911,903.2242301032535,415.5551557148548,104.12280691296085,59.77831400484441,28.737364383503795,20.697572150806224,12.715609794226786
5912,904.264808375068,416.7575333901408,104.26488732695361,59.844581038957614,28.7690794225148,20.71173876278174,12.725143081535263
5913,905.3065854667367,417.96339005504865,104.40716161628106,59.91092153315217,28.80082946277665,20.725915071203456,12.734683516245106
5914,906.3495627593858,419.17273577577475,104.54963004549525,59.97733556886205,28.832614542917348,20.740101082708208,12.744231103714963
5915,907.39374163573,420.3855806476386,104.69229287950884,60.04382322761131,28.864434701607447,20.75429680393729,12.753785849307464
5916,908.4391234800805,421.60193479517346,104.83515038359646,60.100857696606695,28.896289977560254,20.76850224153664,12.763347758389278
5917,909.48570967834,422.8218083722034,104.97820282339426,60.15695801599042,28.92818040953173,20.78271740215669,12.772916836331097
5918,910.5335016180112,424.0452115619355,105.12145046490129,60.21311070144607,28.960106036320703,20.796942292452428,12.782493088507646
5919,911.5825006881919,425.2721545770376,105.26489357447917,60.26931580185397,28.992066896768712,20.811176919083405,12.79207652029765
5920,912.6327082795826,426.50264765972986,105.40853241885327,60.32557336614014,29.024063029760256,20.82542128871373,12.801667137083907
5921,913.6841257844864,427.73670108186735,105.55236726511293,60.38188344327639,29.05609447422271,20.839675408012106,12.811264944253233
5922,914.7367545968075,428.9743251450236,105.69639838071164,60.438246082279925,29.088161269126367,20.85393928365172,12.820869947196462
5923,915.7905961120596,430.2155301805822,105.84062603346837,60.49466133221406,29.120263453484622,20.86821292231041,12.830482151308514
5924,916.8456517273605,431.4603265498166,105.98505049156675,60.55112924218765,29.152401066353814,20.88249633067052,12.840101561988304
